order_number,created_at,payment_details,paymentId,order_id,txnid
2939,"01/02/2021, 11:14 AM","{""ORDERID"":""16011191353495-20210201054611"",""MID"":""WeWork88667919530823"",""TXNID"":""20210201111212800110168992179049381"",""TXNAMOUNT"":""5900.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-01 11:16:12.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16011191353495"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70364899631"",""BANKNAME"":""HDFC Bank""}",,16011191353495-20210201054611,20210201111212800110168992179049381
2944,"01/02/2021, 11:40 AM","{""ORDERID"":""16011295850647-20210201061331"",""MID"":""WeWork88667919530823"",""TXNID"":""20210201111212800110168362379535960"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""UPI"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-01 11:43:32.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16011295850647"",""GATEWAYNAME"":""PPBLC"",""BANKTXNID"":""103206015686""}",,16011295850647-20210201061331,20210201111212800110168362379535960
2977,"01/02/2021, 12:26 PM","{""ORDERID"":""16013410304151-20210201150831"",""MID"":""WeWork88667919530823"",""TXNID"":""20210201111212800110168113479721875"",""TXNAMOUNT"":""2950.00"",""PAYMENTMODE"":""UPI"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-01 20:38:32.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16013410304151"",""GATEWAYNAME"":""PPBL"",""BANKTXNID"":""103220594054""}",,16013410304151-20210201150831,20210201111212800110168113479721875
2962,"01/02/2021, 03:05 PM","{""ORDERID"":""16012038439063-20210201094445"",""MID"":""WeWork88667919530823"",""TXNID"":""20210201111212800110168454879120167"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""UPI"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-01 15:14:47.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16012038439063"",""GATEWAYNAME"":""PPBL"",""BANKTXNID"":""103215034568""}",,16012038439063-20210201094445,20210201111212800110168454879120167
3078,"03/02/2021, 09:57 AM","{""ORDERID"":""16024574689431-20210203044241"",""MID"":""WeWork88667919530823"",""TXNID"":""20210203111212800110168329879843471"",""TXNAMOUNT"":""7080.00"",""PAYMENTMODE"":""NB"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-03 10:12:42.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16024574689431"",""GATEWAYNAME"":""HDFC"",""BANKTXNID"":""210347869153"",""BANKNAME"":""HDFC""}",,16024574689431-20210203044241,20210203111212800110168329879843471
3105,"03/02/2021, 10:48 AM","{""ORDERID"":""16026758381719-20210203112302"",""MID"":""WeWork88667919530823"",""TXNID"":""20210203111212800110168428479762279"",""TXNAMOUNT"":""88.50"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-03 16:53:02.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16026758381719"",""GATEWAYNAME"":""AMEX"",""BANKTXNID"":""720159019"",""BANKNAME"":""American Express""}",,16026758381719-20210203112302,20210203111212800110168428479762279
3096,"03/02/2021, 12:25 PM","{""ORDERID"":""16025328255127-20210203070119"",""MID"":""WeWork88667919530823"",""TXNID"":""20210203111212800110168140979395718"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-03 12:31:19.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16025328255127"",""GATEWAYNAME"":""SBIFSS"",""BANKTXNID"":""202103482117341"",""BANKNAME"":""ICICI Bank""}",,16025328255127-20210203070119,20210203111212800110168140979395718
3100,"03/02/2021, 02:55 PM","{""ORDERID"":""16026285146263-20210203093735"",""MID"":""WeWork88667919530823"",""TXNID"":""20210203111212800110168805379657883"",""TXNAMOUNT"":""2360.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-03 15:07:38.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16026285146263"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70383369118"",""BANKNAME"":""Citibank""}",,16026285146263-20210203093735,20210203111212800110168805379657883
3112,"03/02/2021, 04:29 PM","{""ORDERID"":""16027303346327-20210203132450"",""MID"":""WeWork88667919530823"",""TXNID"":""20210203111212800110168778779669239"",""TXNAMOUNT"":""1770.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-03 18:54:51.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16027303346327"",""GATEWAYNAME"":""BOBFSS"",""BANKTXNID"":""202103470865412"",""BANKNAME"":""ICICI Bank""}",,16027303346327-20210203132450,20210203111212800110168778779669239
3109,"03/02/2021, 05:01 PM","{""ORDERID"":""16027206975639-20210203130225"",""MID"":""WeWork88667919530823"",""TXNID"":""20210203111212800110168331779716677"",""TXNAMOUNT"":""590.00"",""PAYMENTMODE"":""DC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-03 18:32:27.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16027206975639"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70384856956"",""BANKNAME"":""ICICI""}",,16027206975639-20210203130225,20210203111212800110168331779716677
